2026-04-21T07:27:16 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:24 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:27:25 WARNING langchain_community.vectorstores.faiss: `embedding_function` is expected to be an Embeddings object, support for passing in a function will soon be removed.
2026-04-21T07:29:31 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:31:33 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:45:30 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:50:44 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:56:47 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T07:57:49 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T08:04:16 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T08:12:57 WARNING src.scrapper: scrape failed: https://broken.test — boom
2026-04-21T08:12:57 WARNING src.scrapper: scrape failed: https://x — 404
2026-04-21T08:12:58 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T08:12:58 WARNING src.vector: index_url: scrape error for https://broken — timeout
2026-04-21T08:12:58 WARNING src.vector: index_url: no text extracted from https://empty
2026-04-21T08:18:22 INFO    src.agent: agent start: input='index this site https://fitgirl-repacks.site/' file=None history=0
2026-04-21T08:22:43 WARNING src.agent: model gemma3:latest has no tool support — falling back to plain chat
2026-04-21T08:22:43 WARNING src.agent: model gemma3 has no tool support — falling back to plain chat
2026-04-21T08:24:35 WARNING src.agent: model gemma3:latest has no tool support — falling back to plain chat
2026-04-21T08:24:35 WARNING src.agent: model gemma3 has no tool support — falling back to plain chat
2026-04-21T08:24:36 WARNING src.scrapper: scrape failed: https://broken.test — boom
2026-04-21T08:24:36 WARNING src.scrapper: scrape failed: https://x — 404
2026-04-21T08:24:37 WARNING src.vector: index_pdf: no text extracted from blank.pdf
2026-04-21T08:24:37 WARNING src.vector: index_url: scrape error for https://broken — timeout
2026-04-21T08:24:37 WARNING src.vector: index_url: no text extracted from https://empty
2026-04-21T08:28:26 INFO    src.agent: agent start: input='index this site https://fitgirl-repacks.site/' file=None history=2
2026-04-21T08:28:27 WARNING src.agent: model gemma3:latest has no tool support — falling back to plain chat
2026-04-21T08:49:53 INFO    src.agent: call run_router('what is 2+2?', model='test')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='what is 2+2?' file=None history=0
2026-04-21T08:49:53 INFO    src.agent: agent done: total_msgs=1 tool_hops=0 final_chars=19
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('hello world', model='test')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='hello world' file=None history=0
2026-04-21T08:49:53 INFO    src.agent: agent done: total_msgs=1 tool_hops=0 final_chars=12
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('new question', session_id='sid', model='test')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='new question' file=None history=2
2026-04-21T08:49:53 INFO    src.agent: agent done: total_msgs=1 tool_hops=0 final_chars=12
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('summarize this', file_path=PosixPath('/tmp/doc.pdf'), model='test')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='summarize this' file=/tmp/doc.pdf history=0
2026-04-21T08:49:53 INFO    src.agent: agent done: total_msgs=1 tool_hops=0 final_chars=12
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('x', model='test')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='x' file=None history=0
2026-04-21T08:49:53 INFO    src.agent: agent done: total_msgs=1 tool_hops=0 final_chars=12
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('q', model='test')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='q' file=None history=0
2026-04-21T08:49:53 INFO    src.agent: agent done: total_msgs=0 tool_hops=0 final_chars=0
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('hello', model='gemma3:latest')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='hello' file=None history=0
2026-04-21T08:49:53 WARNING src.agent: model gemma3:latest has no tool support — falling back to plain chat
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router("what's in it?", file_path=PosixPath('/tmp/x.pdf'), model='gemma3')
2026-04-21T08:49:53 INFO    src.agent: agent start: input="what's in it?" file=/tmp/x.pdf history=0
2026-04-21T08:49:53 WARNING src.agent: model gemma3 has no tool support — falling back to plain chat
2026-04-21T08:49:53 INFO    src.agent: done run_router in 0.00s
2026-04-21T08:49:53 INFO    src.agent: call run_router('hello', model='gemma3')
2026-04-21T08:49:53 INFO    src.agent: agent start: input='hello' file=None history=0
2026-04-21T08:49:53 ERROR   src.agent: fail run_router after 0.00s: network down
2026-04-21T08:49:53 INFO    src.db: call create_session('my-session', 'gemma3:latest', meta={'k': 'v'})
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('a', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('b', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('old', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call delete_session('c298502e-658e-49c2-a7fe-b14cf1b5c7aa')
2026-04-21T08:49:53 INFO    src.db: done delete_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call create_session('original', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: call import_session({'session': {'id': 'd6abb781-60b9-4ab4-b8b8-70a793fc496d', 'name': 'original'...)
2026-04-21T08:49:53 INFO    src.db: call create_session('original (imported)', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    src.db: done import_session in 0.01s
2026-04-21T08:49:53 INFO    src.db: call create_session('s', 'm')
2026-04-21T08:49:53 INFO    src.db: done create_session in 0.00s
2026-04-21T08:49:53 INFO    test_logger: call TestLogCallDecorator.test_returns_result_and_preserves_name.<locals>.fake_fn(2, y=3)
2026-04-21T08:49:53 INFO    test_logger: done TestLogCallDecorator.test_returns_result_and_preserves_name.<locals>.fake_fn in 0.00s
2026-04-21T08:49:53 INFO    test_logger: call TestLogCallDecorator.test_logs_call_and_done_on_success.<locals>.adder(1, 2)
2026-04-21T08:49:53 INFO    test_logger: done TestLogCallDecorator.test_logs_call_and_done_on_success.<locals>.adder in 0.00s
2026-04-21T08:49:53 INFO    test_logger: call TestLogCallDecorator.test_logs_arg_preview.<locals>.echo('hello there', model='test')
2026-04-21T08:49:53 INFO    test_logger: done TestLogCallDecorator.test_logs_arg_preview.<locals>.echo in 0.00s
2026-04-21T08:49:53 INFO    test_logger: call TestLogCallDecorator.test_truncates_long_arg_previews.<locals>.big('xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx...)
2026-04-21T08:49:53 INFO    test_logger: done TestLogCallDecorator.test_truncates_long_arg_previews.<locals>.big in 0.00s
2026-04-21T08:49:53 INFO    test_logger: call TestLogCallDecorator.test_logs_fail_and_reraises.<locals>.boom()
2026-04-21T08:49:53 ERROR   test_logger: fail TestLogCallDecorator.test_logs_fail_and_reraises.<locals>.boom after 0.00s: nope
2026-04-21T08:49:53 DEBUG   test_logger: call TestLogCallDecorator.test_decorator_with_options.<locals>.quiet(5)
2026-04-21T08:49:53 DEBUG   test_logger: done TestLogCallDecorator.test_decorator_with_options.<locals>.quiet in 0.00s
2026-04-21T08:49:53 INFO    caplog.regression: marker-xyz-12345
2026-04-21T08:49:53 INFO    src.pipeline: call run_pipeline('hello world', use_retrieval=False)
2026-04-21T08:49:53 INFO    src.pipeline: done run_pipeline in 0.01s
2026-04-21T08:49:53 INFO    src.pipeline: call run_pipeline('input text', use_retrieval=False)
2026-04-21T08:49:53 INFO    src.pipeline: pipeline agent start: solo (prior=0)
